fullname,motivation,surname,firstname,share,born,year,age,born_city,died,is_alive,category,born_country,gender,born_country_code,affiliation_city,affiliation,affiliation_country
Santiago Ramón y Cajal,in recognition of their work on the structure of the nervous system,Ramón y Cajal,Santiago,2,1852-05-01,1906,53,Petilla de Aragó,10/17/1934,FALSE,medicine,Spain,male,ES,Madrid,Madrid University,Spain
Theodore Roosevelt,,Roosevelt,Theodore,1,1858-10-27,1906,47,"New York, NY",1/6/1919,FALSE,peace,USA,male,US,,none,
Joseph John Thomson,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,Thomson,Joseph John,1,1856-12-18,1906,49,"Cheetham Hill, near Manchester",8/30/1940,FALSE,physics,United Kingdom,male,GB,Cambridge,Cambridge,United Kingdom
Eduard Buchner,for his biochemical researches and his discovery of cell-free fermentation,Buchner,Eduard,1,1860-05-20,1907,46,Munich,8/13/1917,FALSE,chemistry,Bavaria (now Germany),male,DE,Berlin,Landwirtschaftliche Hochschule (Agricultural College),Germany
Rudyard Kipling,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",Kipling,Rudyard,1,1865-12-30,1907,41,Bombay,1/18/1936,FALSE,literature,British India (now India),male,IN,,none,
Charles Louis Alphonse Laveran,in recognition of his work on the role played by protozoa in causing diseases,Laveran,Charles Louis Alphonse,1,1845-06-18,1907,61,Paris,5/18/1922,FALSE,medicine,France,male,FR,Paris,Institut Pasteur,France
Louis Renault,,Renault,Louis,2,1843-05-21,1907,63,Autun,2/8/1918,FALSE,peace,France,male,FR,Paris,Sorbonne University,France
Ernesto Teodoro Moneta,,Moneta,Ernesto Teodoro,2,1833-09-20,1907,73,Milan,2/10/1918,FALSE,peace,Austrian Empire (now Italy),male,IT,,none,
Albert Abraham Michelson,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,Michelson,Albert Abraham,1,1852-12-19,1907,54,Strelno (now Strzelno),5/9/1931,FALSE,physics,Prussia (now Poland),male,PL,"Chicago, IL",University of Chicago,USA
Ernest Rutherford,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",Rutherford,Ernest,1,1871-08-30,1908,36,Nelson,10/19/1937,FALSE,chemistry,New Zealand,male,NZ,Manchester,Victoria University,United Kingdom
Rudolf Christoph Eucken,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",Eucken,Rudolf Christoph,1,1846-01-05,1908,61,Aurich,9/14/1926,FALSE,literature,East Friesland (now Germany),male,DE,,none,
Paul Ehrlich,in recognition of their work on immunity,Ehrlich,Paul,2,1854-03-14,1908,53,Strehlen (now Strzelin),8/20/1915,FALSE,medicine,Prussia (now Poland),male,PL,Göttingen,Goettingen University,Germany
Ilya Ilyich Mechnikov,in recognition of their work on immunity,Mechnikov,Ilya Ilyich,2,1845-05-15,1908,62,Kharkov (now Kharkiv),7/15/1916,FALSE,medicine,Russian Empire (now Ukraine),male,UA,Paris,Institut Pasteur,France
Klas Pontus Arnoldson,,Arnoldson,Klas Pontus,2,1844-10-27,1908,63,Gothenburg,2/20/1916,FALSE,peace,Sweden,male,SE,,none,
Fredrik Bajer,,Bajer,Fredrik,2,1837-04-21,1908,70,Næstved,1/22/1922,FALSE,peace,Denmark,male,DK,,none,
Gabriel Lippmann,for his method of reproducing colours photographically based on the phenomenon of interference,Lippmann,Gabriel,1,1845-08-16,1908,62,Hollerich,7/13/1921,FALSE,physics,Luxembourg,male,LU,Paris,Sorbonne University,France
Wilhelm Ostwald,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,Ostwald,Wilhelm,1,1853-09-02,1909,55,Riga,4/4/1932,FALSE,chemistry,Russian Empire (now Latvia),male,LV,Leipzig,Leipzig University,Germany
Selma Ottilia Lovisa Lagerlöf,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",Lagerlöf,Selma Ottilia Lovisa,1,1858-11-20,1909,50,Mårbacka,3/16/1940,FALSE,literature,Sweden,female,SE,,none,
Emil Theodor Kocher,"for his work on the physiology, pathology and surgery of the thyroid gland",Kocher,Emil Theodor,1,1841-08-25,1909,67,Berne,7/27/1917,FALSE,medicine,Switzerland,male,CH,Berne,Berne University,Switzerland
Auguste Marie François Beernaert,,Beernaert,Auguste Marie François,2,1829-07-26,1909,79,Ostend,10/6/1912,FALSE,peace,Belgium,male,BE,,none,
"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",,"d'Estournelles de Constant, Baron de Constant de Rebecque",Paul Henri Benjamin Balluet,2,1852-11-22,1909,56,La Flèche,5/15/1924,FALSE,peace,France,male,FR,,none,
Karl Ferdinand Braun,in recognition of their contributions to the development of wireless telegraphy,Braun,Karl Ferdinand,2,1850-06-06,1909,58,Fulda,4/20/1918,FALSE,physics,Hesse-Kassel (now Germany),male,DE,Strasbourg,Strasbourg University,"Alsace (then Germany, now France)"
Guglielmo Marconi,in recognition of their contributions to the development of wireless telegraphy,Marconi,Guglielmo,2,1874-04-25,1909,34,Bologna,7/20/1937,FALSE,physics,Italy,male,IT,London,Marconi Wireless Telegraph Co. Ltd.,United Kingdom
Otto Wallach,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,Wallach,Otto,1,1847-03-27,1910,62,Koenigsberg (now Kaliningrad),2/26/1931,FALSE,chemistry,Germany (now Russia),male,RU,Göttingen,Goettingen University,Germany
Paul Johann Ludwig Heyse,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",Heyse,Paul Johann Ludwig,1,1830-03-15,1910,79,Berlin,4/2/1914,FALSE,literature,Prussia (now Germany),male,DE,,none,
Albrecht Kossel,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",Kossel,Albrecht,1,1853-09-16,1910,56,Rostock,7/5/1927,FALSE,medicine,Mecklenburg (now Germany),male,DE,Heidelberg,University of Heidelberg,Germany
Johannes Diderik van der Waals,for his work on the equation of state for gases and liquids,van der Waals,Johannes Diderik,1,1837-11-23,1910,72,Leiden,3/8/1923,FALSE,physics,the Netherlands,male,NL,Amsterdam,Amsterdam University,the Netherlands
"Marie Curie, née Sklodowska","in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element","Curie, née Sklodowska",Marie,1,1867-11-07,1911,43,Warsaw,7/4/1934,FALSE,chemistry,Russian Empire (now Poland),female,PL,Paris,Sorbonne University,France
Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",Maeterlinck,Count Maurice (Mooris) Polidore Marie Bernhard,1,1862-08-29,1911,48,Ghent,5/6/1949,FALSE,literature,Belgium,male,BE,,none,
Allvar Gullstrand,for his work on the dioptrics of the eye,Gullstrand,Allvar,1,1862-06-05,1911,48,Landskrona,7/28/1930,FALSE,medicine,Sweden,male,SE,Uppsala,Uppsala University,Sweden
Tobias Michael Carel Asser,,Asser,Tobias Michael Carel,2,1838-04-28,1911,72,Amsterdam,7/29/1913,FALSE,peace,the Netherlands,male,NL,,none,
Alfred Hermann Fried,,Fried,Alfred Hermann,2,1864-11-11,1911,46,Vienna,5/5/1921,FALSE,peace,Austria,male,AT,,none,
Wilhelm Wien,for his discoveries regarding the laws governing the radiation of heat,Wien,Wilhelm,1,1864-01-13,1911,46,Gaffken (now Parusnoye),8/30/1928,FALSE,physics,Prussia (now Russia),male,RU,Würzburg,Würzburg University,Germany
Victor Grignard,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",Grignard,Victor,2,1871-05-06,1912,40,Cherbourg,12/13/1935,FALSE,chemistry,France,male,FR,Nancy,Nancy University,France
Paul Sabatier,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,Sabatier,Paul,2,1854-11-05,1912,57,Carcassonne,8/14/1941,FALSE,chemistry,France,male,FR,Toulouse,Toulouse University,France
Gerhart Johann Robert Hauptmann,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",Hauptmann,Gerhart Johann Robert,1,1862-11-15,1912,49,Bad Salzbrunn,6/6/1946,FALSE,literature,Prussia (now Germany),male,DE,,none,
Alexis Carrel,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,Carrel,Alexis,1,1873-06-28,1912,38,Sainte-Foy-lès-Lyon,11/5/1944,FALSE,medicine,France,male,FR,"New York, NY",Rockefeller,USA
Elihu Root,,Root,Elihu,1,1845-02-15,1912,66,"Clinton, NY",2/7/1937,FALSE,peace,USA,male,US,,none,
Nils Gustaf Dalén,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,Dalén,Nils Gustaf,1,1869-11-30,1912,42,Stenstorp,12/9/1937,FALSE,physics,Sweden,male,SE,Lidingö-Stockholm,Swedish Gas-Accumulator Co.,Sweden
Alfred Werner,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,Werner,Alfred,1,1866-12-12,1913,46,Mulhouse,11/15/1919,FALSE,chemistry,France,male,FR,Zurich,University of Zurich,Switzerland
Rabindranath Tagore,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",Tagore,Rabindranath,1,1861-05-07,1913,51,Calcutta,8/7/1941,FALSE,literature,India,male,IN,,none,
Charles Robert Richet,in recognition of his work on anaphylaxis,Richet,Charles Robert,1,1850-08-26,1913,62,Paris,12/4/1935,FALSE,medicine,France,male,FR,Paris,Sorbonne University,France
Henri La Fontaine,,La Fontaine,Henri,1,1854-04-22,1913,58,Brussels,5/14/1943,FALSE,peace,Belgium,male,BE,,none,
Heike Kamerlingh Onnes,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",Kamerlingh Onnes,Heike,1,1853-09-21,1913,59,Groningen,2/21/1926,FALSE,physics,the Netherlands,male,NL,Leiden,Leiden University,the Netherlands
Theodore William Richards,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements,Richards,Theodore William,1,1868-01-31,1914,45,"Germantown, PA",4/2/1928,FALSE,chemistry,USA,male,US,"Cambridge, MA",Harvard,USA
Robert Bárány,for his work on the physiology and pathology of the vestibular apparatus,Bárány,Robert,1,1876-04-22,1914,37,Vienna,4/8/1936,FALSE,medicine,Austria,male,AT,Vienna,Vienna University,Austria
Max von Laue,for his discovery of the diffraction of X-rays by crystals,von Laue,Max,1,1879-10-09,1914,34,Pfaffendorf,4/23/1960,FALSE,physics,Germany,male,DE,Frankfurt-on-the-Main,Frankfurt-on-the-Main University,Germany
Richard Martin Willstätter,"for his researches on plant pigments, especially chlorophyll",Willstätter,Richard Martin,1,1872-08-13,1915,42,Karlsruhe,8/3/1942,FALSE,chemistry,Germany,male,DE,Munich,Munich University,Germany
Romain Rolland,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,Rolland,Romain,1,1866-01-29,1915,48,Clamecy,12/30/1944,FALSE,literature,France,male,FR,,none,
William Lawrence Bragg,for their services in the analysis of crystal structure by means of X-rays,Bragg,William Lawrence,2,1890-03-31,1915,24,Adelaide,7/1/1971,FALSE,physics,Australia,male,AU,Manchester,Victoria University,United Kingdom
Sir William Henry Bragg,for their services in the analysis of crystal structure by means of X-rays,Bragg,Sir William Henry,2,1862-07-02,1915,52,Wigton,3/12/1942,FALSE,physics,United Kingdom,male,GB,London,University College,United Kingdom
Carl Gustaf Verner von Heidenstam,in recognition of his significance as the leading representative of a new era in our literature,von Heidenstam,Carl Gustaf Verner,1,1859-07-06,1916,56,Olshammar,5/20/1940,FALSE,literature,Sweden,male,SE,,none,
Henrik Pontoppidan,for his authentic descriptions of present-day life in Denmark,Pontoppidan,Henrik,2,1857-07-24,1917,59,Fredericia,8/21/1943,FALSE,literature,Denmark,male,DK,,none,
Karl Adolph Gjellerup,"for his varied and rich poetry, which is inspired by lofty ideals",Gjellerup,Karl Adolph,2,1857-06-02,1917,59,Roholte,10/11/1919,FALSE,literature,Denmark,male,DK,,none,
Charles Glover Barkla,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,Barkla,Charles Glover,1,1877-06-07,1917,39,Widnes,10/23/1944,FALSE,physics,United Kingdom,male,GB,Edinburgh,Edinburgh University,United Kingdom
Fritz Haber,for the synthesis of ammonia from its elements,Haber,Fritz,1,1868-12-09,1918,49,Breslau (now Wroclaw),1/29/1934,FALSE,chemistry,Prussia (now Poland),male,PL,Berlin-Dahlem,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Germany
Max Karl Ernst Ludwig Planck,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,Planck,Max Karl Ernst Ludwig,1,1858-04-23,1918,59,Kiel,10/4/1947,FALSE,physics,Schleswig (now Germany),male,DE,Berlin,Berlin University,Germany
Carl Friedrich Georg Spitteler,"in special appreciation of his epic, <I>Olympian Spring</I>",Spitteler,Carl Friedrich Georg,1,1845-04-24,1919,73,Liestal,12/29/1924,FALSE,literature,Switzerland,male,CH,,none,
Jules Bordet,for his discoveries relating to immunity,Bordet,Jules,1,1870-06-13,1919,48,Soignies,4/6/1961,FALSE,medicine,Belgium,male,BE,Brussels,Brussels University,Belgium
Thomas Woodrow Wilson,,Wilson,Thomas Woodrow,1,1856-12-28,1919,62,"Staunton, VA",2/3/1924,FALSE,peace,USA,male,US,,none,
Johannes Stark,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,Stark,Johannes,1,1874-04-15,1919,44,Schickenhof,6/21/1957,FALSE,physics,Germany,male,DE,Greifswald,Greifswald University,Germany
Walther Hermann Nernst,in recognition of his work in thermochemistry,Nernst,Walther Hermann,1,1864-06-25,1920,55,Briesen,11/18/1941,FALSE,chemistry,Prussia (now Germany),male,DE,Berlin,Berlin University,Germany
Knut Pedersen Hamsun,"for his monumental work, <I>Growth of the Soil</I>",Hamsun,Knut Pedersen,1,1859-08-04,1920,60,Lom,2/19/1952,FALSE,literature,Norway,male,NO,,none,
Schack August Steenberg Krogh,for his discovery of the capillary motor regulating mechanism,Krogh,Schack August Steenberg,1,1874-11-15,1920,45,Grenå,9/13/1949,FALSE,medicine,Denmark,male,DK,Copenhagen,Copenhagen University,Denmark
Léon Victor Auguste Bourgeois,,Bourgeois,Léon Victor Auguste,1,1851-05-21,1920,68,Paris,9/29/1925,FALSE,peace,France,male,FR,,none,
Charles Edouard Guillaume,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,Guillaume,Charles Edouard,1,1861-02-15,1920,58,Fleurier,6/13/1938,FALSE,physics,Switzerland,male,CH,Sèvres,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),France
Frederick Soddy,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",Soddy,Frederick,1,1877-09-02,1921,43,Eastbourne,9/22/1956,FALSE,chemistry,United Kingdom,male,GB,Oxford,University of Oxford,United Kingdom
Anatole France,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",France,Anatole,1,1844-04-16,1921,76,Paris,10/12/1924,FALSE,literature,France,male,FR,,none,
Karl Hjalmar Branting,,Branting,Karl Hjalmar,2,1860-11-23,1921,60,Stockholm,2/24/1925,FALSE,peace,Sweden,male,SE,,none,
Christian Lous Lange,,Lange,Christian Lous,2,1869-09-17,1921,51,Stavanger,12/11/1938,FALSE,peace,Norway,male,NO,,none,
Albert Einstein,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",Einstein,Albert,1,1879-03-14,1921,41,Ulm,4/18/1955,FALSE,physics,Germany,male,DE,Berlin,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Germany
Francis William Aston,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",Aston,Francis William,1,1877-09-01,1922,44,Harborne,11/20/1945,FALSE,chemistry,United Kingdom,male,GB,Cambridge,Cambridge,United Kingdom
Jacinto Benavente,for the happy manner in which he has continued the illustrious traditions of the Spanish drama,Benavente,Jacinto,1,1866-08-12,1922,55,Madrid,7/14/1954,FALSE,literature,Spain,male,ES,,none,
Archibald Vivian Hill,for his discovery relating to the production of heat in the muscle,Hill,Archibald Vivian,2,1886-09-26,1922,35,Bristol,6/3/1977,FALSE,medicine,United Kingdom,male,GB,London,London University,United Kingdom
Otto Fritz Meyerhof,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle,Meyerhof,Otto Fritz,2,1884-04-12,1922,37,Hanover,10/6/1951,FALSE,medicine,Germany,male,DE,Kiel,Kiel University,Germany
Fridtjof Nansen,,Nansen,Fridtjof,1,1861-10-10,1922,60,Kristiania (now Oslo),5/13/1930,FALSE,peace,Norway,male,NO,,none,
Niels Henrik David Bohr,for his services in the investigation of the structure of atoms and of the radiation emanating from them,Bohr,Niels Henrik David,1,1885-10-07,1922,36,Copenhagen,11/18/1962,FALSE,physics,Denmark,male,DK,Copenhagen,Copenhagen University,Denmark
Fritz Pregl,for his invention of the method of micro-analysis of organic substances,Pregl,Fritz,1,1869-09-03,1923,53,Laibach (now Ljubljana),12/13/1930,FALSE,chemistry,Austria-Hungary (now Slovenia),male,SI,Graz,Graz University,Austria
William Butler Yeats,"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation",Yeats,William Butler,1,1865-06-13,1923,57,Dublin,1/28/1939,FALSE,literature,Ireland,male,IE,,none,
John James Rickard Macleod,for the discovery of insulin,Macleod,John James Rickard,2,1876-09-06,1923,46,Cluny,3/16/1935,FALSE,medicine,Scotland,male,GB,Toronto,University of Toronto,Canada
Frederick Grant Banting,for the discovery of insulin,Banting,Frederick Grant,2,1891-11-14,1923,31,Alliston,2/21/1941,FALSE,medicine,Canada,male,CA,Toronto,University of Toronto,Canada
Robert Andrews Millikan,for his work on the elementary charge of electricity and on the photoelectric effect,Millikan,Robert Andrews,1,1868-03-22,1923,54,"Morrison, IL",12/19/1953,FALSE,physics,USA,male,US,"Pasadena, CA",Caltech,USA
Wladyslaw Stanislaw Reymont,"for his great national epic, <I>The Peasants</I>",Reymont,Wladyslaw Stanislaw,1,1867-05-07,1924,56,Kobiele Wielkie,12/5/1925,FALSE,literature,Russian Empire (now Poland),male,PL,,none,
Willem Einthoven,for his discovery of the mechanism of the electrocardiogram,Einthoven,Willem,1,1860-05-21,1924,63,Semarang,9/29/1927,FALSE,medicine,"Java, Dutch East Indies (now Indonesia)",male,ID,Leiden,Leiden University,the Netherlands
Karl Manne Georg Siegbahn,for his discoveries and research in the field of X-ray spectroscopy,Siegbahn,Karl Manne Georg,1,1886-12-03,1924,37,Lund,9/26/1978,FALSE,physics,Sweden,male,SE,Uppsala,Uppsala University,Sweden
Richard Adolf Zsigmondy,"for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry",Zsigmondy,Richard Adolf,1,1865-04-01,1925,59,Vienna,9/24/1929,FALSE,chemistry,Austrian Empire (now Austria),male,AT,Göttingen,Goettingen University,Germany
